Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
11421137,10/9/2020 14:06,24,Cinnamomum camphora,Camphor Tree,2,15,30,2,7,12,25,2,LOS AMIGOS PARK,2,LOS AMIGOS PARK,15,Park,16,363,363221.8479,3763786.727
10945514,10/9/2020 14:05,236,Tristaniopsis laurina,Water Gum,2,15,30,2,7,12,19,2416,5TH ST,2416,5TH ST,1,Front,16,363,363117.902,3763822.098
10931156,10/8/2020 12:22,238,Vacant site,Vacant Site,0,0,0,0,0,0,4,365,23RD ST,365,23RD ST,1,Front,2,366,362298.4502,3768065.298
10945558,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2501,5TH ST,2501,5TH ST,3,Front,16,363,363128.6284,3763829.779
10945553,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2501,5TH ST,2501,5TH ST,8,Front,16,363,363172.8069,3763772.839
10945555,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,19,2501,5TH ST,2501,5TH ST,6,Front,16,363,363155.0908,3763797.148
10945559,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,19,2501,5TH ST,2501,5TH ST,2,Front,16,363,363118.7084,3763842.081
10945554,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,19,2501,5TH ST,2501,5TH ST,7,Front,16,363,363164.7017,3763787.417
10945560,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2501,5TH ST,2501,5TH ST,1,Front,16,363,363109.0457,3763854.805
10945556,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2501,5TH ST,2501,5TH ST,5,Front,16,363,363147.8869,3763806.473
10945557,10/8/2020 9:23,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,19,2501,5TH ST,2501,5TH ST,4,Front,16,363,363136.5068,3763820.996
10945561,10/8/2020 9:22,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2331,5TH ST,2331,5TH ST,1,Front,16,363,363092.8541,3763874.937
10920373,10/6/2020 10:19,25,Phoenix canariensis,Canary Island Date Palm,4,45,60,6,31,0,8,1114,12TH ST,1114,12TH ST,3,Front,7,365,362265.3689,3766054.144
10920404,10/6/2020 7:53,40,Cedrus deodara,Deodar Cedar,3,30,45,6,31,0,8,1131,CALIFORNIA AV,1054,12TH ST,3,Side,7,365,362196.9179,3766126.23
10920402,10/6/2020 7:53,40,Cedrus deodara,Deodar Cedar,3,30,45,5,25,30,8,1131,CALIFORNIA AV,1054,12TH ST,1,Side,7,365,362187.1479,3766137.27
10920369,10/6/2020 7:52,22,Schinus molle,California Pepper,2,15,30,3,13,18,8,1102,12TH ST,1102,12TH ST,1,Front,7,365,362227.9899,3766092.84
10920371,10/6/2020 7:52,25,Phoenix canariensis,Canary Island Date Palm,4,45,60,6,31,0,8,1114,12TH ST,1114,12TH ST,1,Front,7,365,362247.9532,3766072.668
10920408,10/6/2020 7:52,25,Phoenix canariensis,Canary Island Date Palm,4,45,60,6,31,0,8,1044,12TH ST,1044,12TH ST,2,Front,7,365,362171.2501,3766153.669
10920372,10/6/2020 7:52,25,Phoenix canariensis,Canary Island Date Palm,4,45,60,6,31,0,8,1114,12TH ST,1114,12TH ST,2,Front,7,365,362254.0919,3766066.397
10920407,10/6/2020 7:52,40,Cedrus deodara,Deodar Cedar,3,30,45,4,19,24,8,1050,12TH ST,1050,12TH ST,1,Front,7,365,362176.4016,3766145.87
10920370,10/6/2020 7:52,22,Schinus molle,California Pepper,2,15,30,3,13,18,8,1102,12TH ST,1102,12TH ST,2,Front,7,365,362237.8034,3766081.866
10927804,10/6/2020 7:43,68,Quercus agrifolia,Coast Live Oak,2,15,30,1,0,6,2,711,12TH ST,711,12TH ST,1,Front,5,365,361731.8056,3766645.274
10920368,10/6/2020 7:38,116,Magnolia grandiflora,Southern Magnolia,2,15,30,3,13,18,8,1201,CALIFORNIA AV,1055,12TH ST,2,Side,7,365,362214.6004,3766130.737
10920367,10/6/2020 7:38,116,Magnolia grandiflora,Southern Magnolia,2,15,30,3,13,18,8,1201,CALIFORNIA AV,1055,12TH ST,1,Side,7,365,362208.0755,3766141.16
10920365,10/6/2020 7:37,40,Cedrus deodara,Deodar Cedar,2,15,30,3,13,18,8,1051,12TH ST,1051,12TH ST,1,Front,7,365,362197.5874,3766148.314
10920317,9/30/2020 9:26,40,Cedrus deodara,Deodar Cedar,3,30,45,4,19,24,8,817,12TH ST,817,12TH ST,1,Front,4,365,361845.5077,3766521.953
10920315,9/30/2020 9:26,40,Cedrus deodara,Deodar Cedar,3,30,45,4,19,24,8,811,12TH ST,811,12TH ST,1,Front,4,365,361828.6317,3766539.208
10927831,9/29/2020 9:48,161,Quercus suber,Cork Oak,2,15,30,3,13,18,2,728,12TH ST,728,12TH ST,1,Front,5,365,361748.0976,3766599.485
10927830,9/29/2020 9:48,161,Quercus suber,Cork Oak,2,15,30,2,7,12,2,724,12TH ST,724,12TH ST,1,Front,5,365,361738.3853,3766610.522
10927832,9/29/2020 9:48,27,Ceratonia siliqua,Carob,3,30,45,5,25,30,2,734,12TH ST,734,12TH ST,1,Front,5,365,361758.6958,3766590.425
10927826,9/29/2020 9:47,27,Ceratonia siliqua,Carob,3,30,45,5,25,30,2,708,12TH ST,708,12TH ST,1,Front,5,365,361708.5185,3766641.769
10927829,9/29/2020 9:47,27,Ceratonia siliqua,Carob,2,15,30,4,19,24,2,718,12TH ST,718,12TH ST,1,Front,5,365,361728.4559,3766620.913
10927828,9/29/2020 9:47,27,Ceratonia siliqua,Carob,3,30,45,6,31,0,2,714,12TH ST,714,12TH ST,2,Front,5,365,361718.4123,3766630.573
10927827,9/29/2020 9:47,27,Ceratonia siliqua,Carob,3,30,45,5,25,30,2,714,12TH ST,714,12TH ST,1,Front,5,365,361712.9995,3766636.028
10928071,9/29/2020 9:41,27,Ceratonia siliqua,Carob,2,15,30,3,13,18,2,538,12TH ST,538,12TH ST,1,Front,5,366,361545.6944,3766813.965
10927806,9/25/2020 13:28,27,Ceratonia siliqua,Carob,2,15,30,4,19,24,2,703,12TH ST,703,12TH ST,1,Front,5,365,361709.5848,3766665.878
