id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,POINT_X,POINT_Y
"5243203",,,WCA,Cinnamomum camphora,Lauraceae,Cinnamomum,Asia,45.00000000000,Rounded,Evergreen,Dense to Very Dense,,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,457612.35246500000,3752984.81461999984
"5703940",,,WCA,Magnolia grandiflora,Magnoliaceae,Magnolia,North America,50.00000000000,Oval,Evergreen,Dense to Very Dense,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,454256.31488199998,3755196.26104999986
"5777282",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464153.53582699999,3755324.85784999980
"5732165",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,457557.66597999999,3751780.20807999978
"5232035",,,WCA,Xylosma congestum,Salicaceae,Xylosma,,0.00000000000,,,,,19.00000000000,24.00000000000,15.00000000000,30.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,459095.56960599998,3752162.50866999989
"5775926",,,WCA,Myoporum laetum,Scrophulariaceae,Myoporum,Australia,30.00000000000,Rounded,Evergreen,Dense to Very Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,456009.04512600001,3757355.03984000022
"5226831",,,WCA,Ficus microcarpa,Moraceae,Ficus,Asia,25.00000000000,Oval or Rounded,Evergreen,Dense,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,455704.53200599999,3751025.84539999999
"4196679",,,WCA,Quercus agrifolia,Fagaceae,Quercus,North America,66.00000000000,Rounded or Umbrella,Evergreen,Moderately Dense,Very Long,7.00000000000,12.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461521.88509200001,3757816.99762000004
"5703935",,,WCA,Magnolia grandiflora,Magnoliaceae,Magnolia,North America,50.00000000000,Oval,Evergreen,Dense to Very Dense,,7.00000000000,12.00000000000,1.00000000000,15.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,454209.93714599998,3755163.79967000009
"5241977",,,WCA,Syagrus romanzoffiana,Arecaceae,Syagrus,South America,50.00000000000,Feather Palm,Evergreen,Low to Moderately Low,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92501.00000000000,Riverside,Riverside,Inland Empire,466355.59619299998,3763567.69285999984
"5719870",,,WCA,Quercus ilex,Fagaceae,Quercus,Europe and North Africa,60.00000000000,Rounded or Umbrella,Evergreen,Dense,Very Long,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464161.90791100002,3755315.49314999999
"5721813",,,WCA,Quercus ilex,Fagaceae,Quercus,Europe and North Africa,60.00000000000,Rounded or Umbrella,Evergreen,Dense,Very Long,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464068.43464499997,3755424.72589999996
"4196474",,,WCA,Lagerstroemia,Lythraceae,Lagerstroemia,,0.00000000000,,,,,0.00000000000,6.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461977.96631699998,3756938.89463000000
